Team,SRS,ORtg,DRtg,TS%,eFG%
Milwaukee Bucks,8.04,113.8,105.2,.583,.550
Golden State Warriors,6.42,115.9,109.5,.596,.565
Toronto Raptors,5.49,113.1,107.1,.579,.543
Utah Jazz,5.28,110.9,105.7,.572,.538
Houston Rockets,4.96,115.5,110.7,.581,.542
Boston Celtics,3.90,112.2,107.8,.567,.534
Portland Trail Blazers,4.43,114.7,110.5,.568,.528
Denver Nuggets,4.19,113.0,108.9,.558,.527
Indiana Pacers,2.76,109.9,106.5,.561,.530
Oklahoma City Thunder,3.56,110.3,107.0,.545,.514
Philadelphia 76ers,2.25,112.6,110.0,.574,.532
San Antonio Spurs,1.80,112.9,111.2,.572,.534
Los Angeles Clippers,1.09,112.4,111.5,.575,.529
Orlando Magic,0.28,108.9,108.1,.550,.518
Brooklyn Nets,-0.40,109.6,109.7,.556,.520
Detroit Pistons,-0.56,109.0,109.2,.544,.509
Miami Heat,-0.45,107.3,107.6,.542,.515
Sacramento Kings,-0.81,110.4,111.5,.554,.524
Charlotte Hornets,-1.32,111.4,112.5,.554,.514
New Orleans Pelicans,-1.10,111.4,112.6,.563,.529
Dallas Mavericks,-0.87,109.4,110.7,.555,.519
Minnesota Timberwolves,-1.02,111.4,112.9,.552,.511
Los Angeles Lakers,-1.33,107.8,109.5,.554,.527
Memphis Grizzlies,-2.08,106.1,108.8,.548,.508
Washington Wizards,-3.30,111.1,113.9,.567,.531
Atlanta Hawks,-6.06,108.1,113.9,.555,.522
Chicago Bulls,-8.32,104.8,113.2,.541,.505
New York Knicks,-8.93,104.5,113.7,.529,.490
Phoenix Suns,-8.61,105.9,115.1,.552,.514
Cleveland Cavaliers,-9.39,107.7,117.6,.540,.503
