GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,HOME_TEAM_WINS,HOME_ORTG,AWAY_ORTG,HOME_DRTG,AWAY_DRTG,HOME_SRS,AWAY_SRS,HOME_EFG,AWAY_EFG,HOME_TS,AWAY_TS
2021-11-17,22100213,Charlotte Hornets,Washington Wizards,2021,97,87,1,,,,,,,,,,
2021-11-17,22100214,Detroit Pistons,Indiana Pacers,2021,97,89,1,,,,,,,,,,
2021-11-17,22100215,Atlanta Hawks,Boston Celtics,2021,110,99,1,,,,,,,,,,
2021-11-17,22100216,Brooklyn Nets,Cleveland Cavaliers,2021,109,99,1,,,,,,,,,,
2021-11-17,22100217,Miami Heat,New Orleans Pelicans,2021,113,98,1,,,,,,,,,,
2021-11-17,22100218,New York Knicks,Orlando Magic,2021,98,104,0,,,,,,,,,,
2021-11-17,22100219,Milwaukee Bucks,Los Angeles Lakers,2021,109,102,1,,,,,,,,,,
2021-11-17,22100220,Minnesota Timberwolves,Sacramento Kings,2021,107,97,1,,,,,,,,,,
2021-11-17,22100221,Oklahoma City Thunder,Houston Rockets,2021,101,89,1,,,,,,,,,,
2021-11-17,22100222,Phoenix Suns,Dallas Mavericks,2021,105,98,1,,,,,,,,,,
2021-11-17,22100223,Portland Trail Blazers,Chicago Bulls,2021,112,107,1,,,,,,,,,,
2021-11-16,22100210,Brooklyn Nets,Golden State Warriors,2021,99,117,0,,,,,,,,,,
2021-11-16,22100211,Utah Jazz,Philadelphia 76ers,2021,120,85,1,,,,,,,,,,
2021-11-16,22100212,Los Angeles Clippers,San Antonio Spurs,2021,106,92,1,,,,,,,,,,
2021-11-15,22100199,Cleveland Cavaliers,Boston Celtics,2021,92,98,0,,,,,,,,,,
2021-11-15,22100200,Detroit Pistons,Sacramento Kings,2021,107,129,0,,,,,,,,,,
2021-11-15,22100201,Washington Wizards,New Orleans Pelicans,2021,105,100,1,,,,,,,,,,
2021-11-15,22100202,Atlanta Hawks,Orlando Magic,2021,129,111,1,,,,,,,,,,
2021-11-15,22100203,New York Knicks,Indiana Pacers,2021,92,84,1,,,,,,,,,,
2021-11-15,22100204,Dallas Mavericks,Denver Nuggets,2021,111,101,1,,,,,,,,,,
2021-11-15,22100205,Memphis Grizzlies,Houston Rockets,2021,136,102,1,,,,,,,,,,
2021-11-15,22100206,Minnesota Timberwolves,Phoenix Suns,2021,96,99,0,,,,,,,,,,
2021-11-15,22100207,Oklahoma City Thunder,Miami Heat,2021,90,103,0,,,,,,,,,,
2021-11-15,22100208,Portland Trail Blazers,Toronto Raptors,2021,118,113,1,,,,,,,,,,
2021-11-15,22100209,Los Angeles Lakers,Chicago Bulls,2021,103,121,0,,,,,,,,,,
2021-11-14,22100192,Los Angeles Lakers,San Antonio Spurs,2021,114,106,1,,,,,,,,,,
2021-11-14,22100193,Atlanta Hawks,Milwaukee Bucks,2021,120,100,1,,,,,,,,,,
2021-11-14,22100194,Charlotte Hornets,Golden State Warriors,2021,106,102,1,,,,,,,,,,
2021-11-14,22100195,Houston Rockets,Phoenix Suns,2021,89,115,0,,,,,,,,,,
2021-11-14,22100196,Oklahoma City Thunder,Brooklyn Nets,2021,96,120,0,,,,,,,,,,
2021-11-14,22100197,Denver Nuggets,Portland Trail Blazers,2021,124,95,1,,,,,,,,,,
2021-11-14,22100198,Los Angeles Clippers,Chicago Bulls,2021,90,100,0,,,,,,,,,,
2021-11-13,22100185,Utah Jazz,Miami Heat,2021,105,111,0,,,,,,,,,,
2021-11-13,22100186,Indiana Pacers,Philadelphia 76ers,2021,118,113,1,,,,,,,,,,
2021-11-13,22100187,Orlando Magic,Washington Wizards,2021,92,104,0,,,,,,,,,,
2021-11-13,22100188,New Orleans Pelicans,Memphis Grizzlies,2021,112,101,1,,,,,,,,,,
2021-11-13,22100189,Toronto Raptors,Detroit Pistons,2021,121,127,0,,,,,,,,,,
2021-11-13,22100190,Cleveland Cavaliers,Boston Celtics,2021,91,89,1,,,,,,,,,,
2021-11-13,22100191,Los Angeles Clippers,Minnesota Timberwolves,2021,129,102,1,,,,,,,,,,
2021-11-12,22100174,Charlotte Hornets,New York Knicks,2021,104,96,1,,,,,,,,,,
2021-11-12,22100175,Boston Celtics,Milwaukee Bucks,2021,122,113,1,,,,,,,,,,
2021-11-12,22100176,Cleveland Cavaliers,Detroit Pistons,2021,98,78,1,,,,,,,,,,
2021-11-12,22100177,Houston Rockets,Portland Trail Blazers,2021,92,104,0,,,,,,,,,,
2021-11-12,22100178,Memphis Grizzlies,Phoenix Suns,2021,94,119,0,,,,,,,,,,
2021-11-12,22100179,New Orleans Pelicans,Brooklyn Nets,2021,112,120,0,,,,,,,,,,
2021-11-12,22100180,Oklahoma City Thunder,Sacramento Kings,2021,105,103,1,,,,,,,,,,
2021-11-12,22100181,San Antonio Spurs,Dallas Mavericks,2021,109,123,0,,,,,,,,,,
2021-11-12,22100182,Denver Nuggets,Atlanta Hawks,2021,105,96,1,,,,,,,,,,
2021-11-12,22100183,Golden State Warriors,Chicago Bulls,2021,119,93,1,,,,,,,,,,
2021-11-12,22100184,Los Angeles Lakers,Minnesota Timberwolves,2021,83,107,0,,,,,,,,,,
2021-11-11,22100171,Philadelphia 76ers,Toronto Raptors,2021,109,115,0,,,,,,,,,,
2021-11-11,22100172,Utah Jazz,Indiana Pacers,2021,100,111,0,,,,,,,,,,
2021-11-11,22100173,Los Angeles Clippers,Miami Heat,2021,112,109,1,,,,,,,,,,
2021-11-10,22100158,Cleveland Cavaliers,Washington Wizards,2021,94,97,0,,,,,,,,,,
2021-11-10,22100159,Orlando Magic,Brooklyn Nets,2021,90,123,0,,,,,,,,,,
2021-11-10,22100160,Boston Celtics,Toronto Raptors,2021,104,88,1,,,,,,,,,,
2021-11-10,22100161,New York Knicks,Milwaukee Bucks,2021,100,112,0,,,,,,,,,,
2021-11-10,22100162,Houston Rockets,Detroit Pistons,2021,104,112,0,,,,,,,,,,
2021-11-10,22100163,Chicago Bulls,Dallas Mavericks,2021,117,107,1,,,,,,,,,,
2021-11-10,22100164,Memphis Grizzlies,Charlotte Hornets,2021,108,118,0,,,,,,,,,,
2021-11-10,22100165,New Orleans Pelicans,Oklahoma City Thunder,2021,100,108,0,,,,,,,,,,
2021-11-10,22100166,San Antonio Spurs,Sacramento Kings,2021,136,117,1,,,,,,,,,,
2021-11-10,22100167,Denver Nuggets,Indiana Pacers,2021,101,98,1,,,,,,,,,,
2021-11-10,22100168,Phoenix Suns,Portland Trail Blazers,2021,119,109,1,,,,,,,,,,
2021-11-10,22100169,Golden State Warriors,Minnesota Timberwolves,2021,123,110,1,,,,,,,,,,
