GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,HOME_TEAM_WINS,HOME_ORTG,AWAY_ORTG,HOME_DRTG,AWAY_DRTG,HOME_SRS,AWAY_SRS,HOME_EFG,AWAY_EFG,HOME_TS,AWAY_TS,MOV
2021-11-17,22100213,Charlotte Hornets,Washington Wizards,2021,97,87,1,112.0,108.0,112.5,108.2,0.17,-0.24,0.533,0.521,0.561,0.556,10.0
2021-11-17,22100214,Detroit Pistons,Indiana Pacers,2021,97,89,1,100.5,108.7,110.3,108.0,-8.55,1.05,0.47,0.522,0.512,0.551,8.0
2021-11-17,22100215,Atlanta Hawks,Boston Celtics,2021,110,99,1,113.2,109.6,110.7,107.2,2.98,1.9,0.531,0.512,0.564,0.553,11.0
2021-11-17,22100216,Brooklyn Nets,Cleveland Cavaliers,2021,109,99,1,110.2,107.8,106.5,105.0,3.44,3.45,0.536,0.523,0.574,0.557,10.0
2021-11-17,22100217,Miami Heat,New Orleans Pelicans,2021,113,98,1,111.4,106.0,108.0,112.8,3.29,-5.4,0.53,0.491,0.567,0.53,15.0
2021-11-17,22100218,New York Knicks,Orlando Magic,2021,98,104,0,109.2,101.4,110.0,111.4,-0.9,-9.08,0.517,0.489,0.551,0.521,-6.0
2021-11-17,22100219,Milwaukee Bucks,Los Angeles Lakers,2021,109,102,1,110.7,107.1,106.6,108.8,3.06,-2.84,0.533,0.528,0.562,0.557,7.0
2021-11-17,22100220,Minnesota Timberwolves,Sacramento Kings,2021,107,97,1,107.6,108.3,106.7,111.3,0.49,-2.53,0.503,0.513,0.536,0.548,10.0
2021-11-17,22100221,Oklahoma City Thunder,Houston Rockets,2021,101,89,1,99.6,101.9,109.8,109.2,-9.83,-8.62,0.472,0.512,0.505,0.542,12.0
2021-11-17,22100222,Phoenix Suns,Dallas Mavericks,2021,105,98,1,111.2,107.7,104.7,109.4,6.13,-1.62,0.544,0.516,0.576,0.543,7.0
2021-11-17,22100223,Portland Trail Blazers,Chicago Bulls,2021,112,107,1,111.7,111.1,114.0,106.6,-1.28,3.88,0.53,0.533,0.563,0.571,5.0
2021-11-16,22100210,Brooklyn Nets,Golden State Warriors,2021,99,117,0,110.2,113.2,106.5,100.9,3.44,11.35,0.536,0.562,0.574,0.59,-18.0
2021-11-16,22100211,Utah Jazz,Philadelphia 76ers,2021,120,85,1,116.5,110.1,106.8,109.0,8.04,0.81,0.567,0.522,0.6,0.559,35.0
2021-11-16,22100212,Los Angeles Clippers,San Antonio Spurs,2021,106,92,1,106.3,107.1,105.4,107.1,0.5,-0.48,0.52,0.522,0.553,0.542,14.0
2021-11-15,22100199,Cleveland Cavaliers,Boston Celtics,2021,92,98,0,107.8,109.6,105.0,107.2,3.45,1.9,0.523,0.512,0.557,0.553,-6.0
2021-11-15,22100200,Detroit Pistons,Sacramento Kings,2021,107,129,0,100.5,108.3,110.3,111.3,-8.55,-2.53,0.47,0.513,0.512,0.548,-22.0
2021-11-15,22100201,Washington Wizards,New Orleans Pelicans,2021,105,100,1,108.0,106.0,108.2,112.8,-0.24,-5.4,0.521,0.491,0.556,0.53,5.0
2021-11-15,22100202,Atlanta Hawks,Orlando Magic,2021,129,111,1,113.2,101.4,110.7,111.4,2.98,-9.08,0.531,0.489,0.564,0.521,18.0
2021-11-15,22100203,New York Knicks,Indiana Pacers,2021,92,84,1,109.2,108.7,110.0,108.0,-0.9,1.05,0.517,0.522,0.551,0.551,8.0
2021-11-15,22100204,Dallas Mavericks,Denver Nuggets,2021,111,101,1,107.7,108.8,109.4,108.6,-1.62,0.97,0.516,0.536,0.543,0.56,10.0
2021-11-15,22100205,Memphis Grizzlies,Houston Rockets,2021,136,102,1,111.4,101.9,111.9,109.2,-0.23,-8.62,0.518,0.512,0.547,0.542,34.0
2021-11-15,22100206,Minnesota Timberwolves,Phoenix Suns,2021,96,99,0,107.6,111.2,106.7,104.7,0.49,6.13,0.503,0.544,0.536,0.576,-3.0
2021-11-15,22100207,Oklahoma City Thunder,Miami Heat,2021,90,103,0,99.6,111.4,109.8,108.0,-9.83,3.29,0.472,0.53,0.505,0.567,-13.0
2021-11-15,22100208,Portland Trail Blazers,Toronto Raptors,2021,118,113,1,111.7,109.4,114.0,110.3,-1.28,-0.09,0.53,0.497,0.563,0.529,5.0
2021-11-15,22100209,Los Angeles Lakers,Chicago Bulls,2021,103,121,0,107.1,111.1,108.8,106.6,-2.84,3.88,0.528,0.533,0.557,0.571,-18.0
2021-11-14,22100192,Los Angeles Lakers,San Antonio Spurs,2021,114,106,1,107.1,107.1,108.8,107.1,-2.84,-0.48,0.528,0.522,0.557,0.542,8.0
2021-11-14,22100193,Atlanta Hawks,Milwaukee Bucks,2021,120,100,1,113.2,110.7,110.7,106.6,2.98,3.06,0.531,0.533,0.564,0.562,20.0
2021-11-14,22100194,Charlotte Hornets,Golden State Warriors,2021,106,102,1,112.0,113.2,112.5,100.9,0.17,11.35,0.533,0.562,0.561,0.59,4.0
2021-11-14,22100195,Houston Rockets,Phoenix Suns,2021,89,115,0,101.9,111.2,109.2,104.7,-8.62,6.13,0.512,0.544,0.542,0.576,-26.0
2021-11-14,22100196,Oklahoma City Thunder,Brooklyn Nets,2021,96,120,0,99.6,110.2,109.8,106.5,-9.83,3.44,0.472,0.536,0.505,0.574,-24.0
2021-11-14,22100197,Denver Nuggets,Portland Trail Blazers,2021,124,95,1,108.8,111.7,108.6,114.0,0.97,-1.28,0.536,0.53,0.56,0.563,29.0
2021-11-14,22100198,Los Angeles Clippers,Chicago Bulls,2021,90,100,0,106.3,111.1,105.4,106.6,0.5,3.88,0.52,0.533,0.553,0.571,-10.0
2021-11-13,22100185,Utah Jazz,Miami Heat,2021,105,111,0,116.5,111.4,106.8,108.0,8.04,3.29,0.567,0.53,0.6,0.567,-6.0
2021-11-13,22100186,Indiana Pacers,Philadelphia 76ers,2021,118,113,1,108.7,110.1,108.0,109.0,1.05,0.81,0.522,0.522,0.551,0.559,5.0
2021-11-13,22100187,Orlando Magic,Washington Wizards,2021,92,104,0,101.4,108.0,111.4,108.2,-9.08,-0.24,0.489,0.521,0.521,0.556,-12.0
2021-11-13,22100188,New Orleans Pelicans,Memphis Grizzlies,2021,112,101,1,106.0,111.4,112.8,111.9,-5.4,-0.23,0.491,0.518,0.53,0.547,11.0
2021-11-13,22100189,Toronto Raptors,Detroit Pistons,2021,121,127,0,109.4,100.5,110.3,110.3,-0.09,-8.55,0.497,0.47,0.529,0.512,-6.0
2021-11-13,22100190,Cleveland Cavaliers,Boston Celtics,2021,91,89,1,107.8,109.6,105.0,107.2,3.45,1.9,0.523,0.512,0.557,0.553,2.0
2021-11-13,22100191,Los Angeles Clippers,Minnesota Timberwolves,2021,129,102,1,106.3,107.6,105.4,106.7,0.5,0.49,0.52,0.503,0.553,0.536,27.0
2021-11-12,22100174,Charlotte Hornets,New York Knicks,2021,104,96,1,112.0,109.2,112.5,110.0,0.17,-0.9,0.533,0.517,0.561,0.551,8.0
2021-11-12,22100175,Boston Celtics,Milwaukee Bucks,2021,122,113,1,109.6,110.7,107.2,106.6,1.9,3.06,0.512,0.533,0.553,0.562,9.0
2021-11-12,22100176,Cleveland Cavaliers,Detroit Pistons,2021,98,78,1,107.8,100.5,105.0,110.3,3.45,-8.55,0.523,0.47,0.557,0.512,20.0
2021-11-12,22100177,Houston Rockets,Portland Trail Blazers,2021,92,104,0,101.9,111.7,109.2,114.0,-8.62,-1.28,0.512,0.53,0.542,0.563,-12.0
2021-11-12,22100178,Memphis Grizzlies,Phoenix Suns,2021,94,119,0,111.4,111.2,111.9,104.7,-0.23,6.13,0.518,0.544,0.547,0.576,-25.0
2021-11-12,22100179,New Orleans Pelicans,Brooklyn Nets,2021,112,120,0,106.0,110.2,112.8,106.5,-5.4,3.44,0.491,0.536,0.53,0.574,-8.0
2021-11-12,22100180,Oklahoma City Thunder,Sacramento Kings,2021,105,103,1,99.6,108.3,109.8,111.3,-9.83,-2.53,0.472,0.513,0.505,0.548,2.0
2021-11-12,22100181,San Antonio Spurs,Dallas Mavericks,2021,109,123,0,107.1,107.7,107.1,109.4,-0.48,-1.62,0.522,0.516,0.542,0.543,-14.0
2021-11-12,22100182,Denver Nuggets,Atlanta Hawks,2021,105,96,1,108.8,113.2,108.6,110.7,0.97,2.98,0.536,0.531,0.56,0.564,9.0
2021-11-12,22100183,Golden State Warriors,Chicago Bulls,2021,119,93,1,113.2,111.1,100.9,106.6,11.35,3.88,0.562,0.533,0.59,0.571,26.0
2021-11-12,22100184,Los Angeles Lakers,Minnesota Timberwolves,2021,83,107,0,107.1,107.6,108.8,106.7,-2.84,0.49,0.528,0.503,0.557,0.536,-24.0
2021-11-11,22100171,Philadelphia 76ers,Toronto Raptors,2021,109,115,0,110.1,109.4,109.0,110.3,0.81,-0.09,0.522,0.497,0.559,0.529,-6.0
2021-11-11,22100172,Utah Jazz,Indiana Pacers,2021,100,111,0,116.5,108.7,106.8,108.0,8.04,1.05,0.567,0.522,0.6,0.551,-11.0
2021-11-11,22100173,Los Angeles Clippers,Miami Heat,2021,112,109,1,106.3,111.4,105.4,108.0,0.5,3.29,0.52,0.53,0.553,0.567,3.0
2021-11-10,22100158,Cleveland Cavaliers,Washington Wizards,2021,94,97,0,107.8,108.0,105.0,108.2,3.45,-0.24,0.523,0.521,0.557,0.556,-3.0
2021-11-10,22100159,Orlando Magic,Brooklyn Nets,2021,90,123,0,101.4,110.2,111.4,106.5,-9.08,3.44,0.489,0.536,0.521,0.574,-33.0
2021-11-10,22100160,Boston Celtics,Toronto Raptors,2021,104,88,1,109.6,109.4,107.2,110.3,1.9,-0.09,0.512,0.497,0.553,0.529,16.0
2021-11-10,22100161,New York Knicks,Milwaukee Bucks,2021,100,112,0,109.2,110.7,110.0,106.6,-0.9,3.06,0.517,0.533,0.551,0.562,-12.0
2021-11-10,22100162,Houston Rockets,Detroit Pistons,2021,104,112,0,101.9,100.5,109.2,110.3,-8.62,-8.55,0.512,0.47,0.542,0.512,-8.0
2021-11-10,22100163,Chicago Bulls,Dallas Mavericks,2021,117,107,1,111.1,107.7,106.6,109.4,3.88,-1.62,0.533,0.516,0.571,0.543,10.0
2021-11-10,22100164,Memphis Grizzlies,Charlotte Hornets,2021,108,118,0,111.4,112.0,111.9,112.5,-0.23,0.17,0.518,0.533,0.547,0.561,-10.0
2021-11-10,22100165,New Orleans Pelicans,Oklahoma City Thunder,2021,100,108,0,106.0,99.6,112.8,109.8,-5.4,-9.83,0.491,0.472,0.53,0.505,-8.0
2021-11-10,22100166,San Antonio Spurs,Sacramento Kings,2021,136,117,1,107.1,108.3,107.1,111.3,-0.48,-2.53,0.522,0.513,0.542,0.548,19.0
2021-11-10,22100167,Denver Nuggets,Indiana Pacers,2021,101,98,1,108.8,108.7,108.6,108.0,0.97,1.05,0.536,0.522,0.56,0.551,3.0
2021-11-10,22100168,Phoenix Suns,Portland Trail Blazers,2021,119,109,1,111.2,111.7,104.7,114.0,6.13,-1.28,0.544,0.53,0.576,0.563,10.0
2021-11-10,22100169,Golden State Warriors,Minnesota Timberwolves,2021,123,110,1,113.2,107.6,100.9,106.7,11.35,0.49,0.562,0.503,0.59,0.536,13.0
2021-11-10,22100170,Los Angeles Lakers,Miami Heat,2021,120,117,1,107.1,111.4,108.8,108.0,-2.84,3.29,0.528,0.53,0.557,0.567,3.0
2021-11-09,22100155,Philadelphia 76ers,Milwaukee Bucks,2021,109,118,0,110.1,110.7,109.0,106.6,0.81,3.06,0.522,0.533,0.559,0.562,-9.0
2021-11-09,22100156,Utah Jazz,Atlanta Hawks,2021,110,98,1,116.5,113.2,106.8,110.7,8.04,2.98,0.567,0.531,0.6,0.564,12.0
2021-11-09,22100157,Los Angeles Clippers,Portland Trail Blazers,2021,117,109,1,106.3,111.7,105.4,114.0,0.5,-1.28,0.52,0.53,0.553,0.563,8.0
2021-11-08,22100147,Philadelphia 76ers,New York Knicks,2021,96,103,0,110.1,109.2,109.0,110.0,0.81,-0.9,0.522,0.517,0.559,0.551,-7.0
2021-11-08,22100148,Chicago Bulls,Brooklyn Nets,2021,118,95,1,111.1,110.2,106.6,106.5,3.88,3.44,0.533,0.536,0.571,0.574,23.0
2021-11-08,22100149,Memphis Grizzlies,Minnesota Timberwolves,2021,125,118,1,111.4,107.6,111.9,106.7,-0.23,0.49,0.518,0.503,0.547,0.536,7.0
2021-11-08,22100150,Dallas Mavericks,New Orleans Pelicans,2021,108,92,1,107.7,106.0,109.4,112.8,-1.62,-5.4,0.516,0.491,0.543,0.53,16.0
2021-11-08,22100151,Denver Nuggets,Miami Heat,2021,113,96,1,108.8,111.4,108.6,108.0,0.97,3.29,0.536,0.53,0.56,0.567,17.0
2021-11-08,22100152,Golden State Warriors,Atlanta Hawks,2021,127,113,1,113.2,113.2,100.9,110.7,11.35,2.98,0.562,0.531,0.59,0.564,14.0
2021-11-08,22100153,Sacramento Kings,Phoenix Suns,2021,104,109,0,108.3,111.2,111.3,104.7,-2.53,6.13,0.513,0.544,0.548,0.576,-5.0
